date,internal_id,close,tradable_volume,mkt_cap,volat_21,fx_to_usd
20200925,40044631,179.95,305033,6760692372,0.019832,0.15609147
20200925,40048791,2819,1554402,26796773090,0.032811,0.012708
20200925,40060061,37.25,4031,34244671725,0.038796,1.1623001
20200925,41002414,22.85,8486,132792786,0.02825,1.1623001
20200925,41009729,157,829832,11213442629,0.030451,0.10427529
20200925,41010611,92.5,14146,289398801,0.036269,0.012708
20200928,40014265,453.5,359433,8441879091,0.021586,0.11029736
20200928,40044140,108.46,5761,228391947039,0.016735,1.16530016
20200928,40044631,198,1208660,7459203516,0.029346,0.15651902
20200928,40048791,2855,1274021,27459319745,0.032657,0.012858
20200928,40060061,37.525,6925,34586527570,0.038686,1.16530016
20200928,41002414,23.5,7146,136922769,0.029169,1.16530016
20200928,41009729,162.2,329051,11705807355,0.031238,0.10536409
20200928,41010611,92.5,597,292814761,0.036269,0.012858
20200929,40014265,453.6,329957,8504902640,0.021367,0.1110963
20200929,40044140,105.96,3884,224333692806,0.017445,1.17159949
20200929,40044631,199.5,602047,7556041482,0.029316,0.15735889
20200929,40048791,2895,1332802,27818070850,0.032687,0.01284601
20200929,40060061,37.91,4309,35130264065,0.038568,1.17159949
20200929,41002414,23.45,3004,137370040,0.029132,1.17159949
20200929,41009729,164.4,604175,11892019614,0.031048,0.10560777
20200929,41010611,90,1367,284635144,0.036814,0.01284601
20200930,40014265,455.2,587911,8572329813,0.020823,0.11158348
20200930,40044140,105.96,10322,224448608019,0.016859,1.17219964
20200930,40044631,199.5,629015,7561395820,0.028122,0.1574704
20200930,40048791,2744,2566234,26510758130,0.0354,0.01291599
20200930,40060061,38.185,21212,35403225859,0.035509,1.17219964
20200930,41002414,24.7,9292,144766656,0.030996,1.17219964
20200930,41009729,160.3,1136204,11721458373,0.031056,0.10675549
20200930,41010611,90,0,286185826,0.036814,0.01291599
20201001,40014265,456.4,472687,8627853449,0.020893,0.11201093
20201001,40044140,105.68,4990,224352017440,0.016836,1.17479961
20201001,40044631,196,514530,7446210864,0.028129,0.15784074
20201001,40048791,2718,3978944,26202638459,0.032008,0.01288799
20201001,40060061,38.9,10614,36146133643,0.034489,1.17479961
20201001,41002414,24.75,3738,145381452,0.028883,1.17479961
20201001,41009729,163.5,453091,12010068000,0.031353,0.10724321
20201001,41010611,90,3449,285735952,0.036814,0.01288799
20201002,40014265,460.4,678624,8698403599,0.018674,0.11194573
20201002,40044140,104.72,9195,221500294478,0.016634,1.17049966
20201002,40044631,191.6,377346,7254432561,0.027971,0.15730691
20201002,40048791,2659,1989193,25341040136,0.031283,0.012922
20201002,40060061,39.53,15982,36597090737,0.032339,1.17049966
20201002,41002414,23.1,11275,135192711,0.032905,1.17049966
20201002,41009729,164,444714,12033632679,0.025497,0.10712602
20201002,41010611,90,0,286489916,0.036814,0.012922
20201005,40014265,459.4,397129,8717472334,0.01471,0.11243535
20201005,40044140,104.46,5526,222460613466,0.016313,1.17850038
20201005,40044631,199.25,529041,7596178798,0.028346,0.15839326
20201005,40048791,2668,1053560,25523216501,0.031091,0.01297099
20201005,40060061,39.65,4374,36959098950,0.032362,1.17850038
